ID,Nom du producteur,Pays,Continent,Région / Ville,Type de producteur,Produits principaux,Bio,Équitable,Certification,Site internet,Email,Téléphone,WhatsApp,LinkedIn,Instagram,Facebook,Contact / Responsable,Adresse,Source,Notes
ETH-00011,Kleine Zalze (Pty) Ltd,Afrique du Sud,Afrique,Stellenbosch,Plantation / exploitation (main-d'œuvre salariée),Raisin de cuve,À vérifier,Oui,Fairtrade International / FLOCERT — Producer - Hired Labour,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,"PO Box 12837, Die Boord, 7613, Stellenbosch, South Africa",Fairtrade Finder / FLOCERT (API officielle assurance-ix) — https://www.fairtrade.net/en/fairtrade-finder.html,FLO-ID 27698 — statut certification : Certified — organisme : FLOCERT
ETH-00012,Koopmanskloof Wingerde,Afrique du Sud,Afrique,Stellenbosch,Plantation / exploitation (main-d'œuvre salariée),Raisin de cuve,À vérifier,Oui,Fairtrade International / FLOCERT — Producer - Hired Labour,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,"PO Box 19, 7605, Koelenhof, Stellenbosch, South Africa",Fairtrade Finder / FLOCERT (API officielle assurance-ix) — https://www.fairtrade.net/en/fairtrade-finder.html,FLO-ID 6591 — statut certification : Certified — organisme : FLOCERT
ETH-00013,Lutzville Vineyards (Pty) Ltd,Afrique du Sud,Afrique,Lutzville,Plantation / exploitation (main-d'œuvre salariée),Raisin de cuve,À vérifier,Oui,Fairtrade International / FLOCERT — Producer - Hired Labour ; Trader,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,"PO Box 50, 8165, Lutzville, South Africa",Fairtrade Finder / FLOCERT (API officielle assurance-ix) — https://www.fairtrade.net/en/fairtrade-finder.html,FLO-ID 35561 — statut certification : Certified — organisme : FLOCERT
ETH-00014,Middeldoornrivier Boerdery (Pty) Ltd,Afrique du Sud,Afrique,Worcester,Plantation / exploitation (main-d'œuvre salariée),Raisin de cuve,À vérifier,Oui,Fairtrade International / FLOCERT — Producer - Hired Labour,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,"PO Box 680, 6849, Worcester, South Africa",Fairtrade Finder / FLOCERT (API officielle assurance-ix) — https://www.fairtrade.net/en/fairtrade-finder.html,FLO-ID 28825 — statut certification : Certified — organisme : FLOCERT
ETH-00015,Myburgh Trust,Afrique du Sud,Afrique,Suider Paarl,Plantation / exploitation (main-d'œuvre salariée),Raisin de cuve,À vérifier,Oui,Fairtrade International / FLOCERT — Producer - Hired Labour,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,"Heldersig Farm, PO Box 649, 7624, Suider Paarl, South Africa",Fairtrade Finder / FLOCERT (API officielle assurance-ix) — https://www.fairtrade.net/en/fairtrade-finder.html,FLO-ID 40826 — statut certification : Certified — organisme : FLOCERT
ETH-00016,Saambegin (Pty) Ltd (Saamstaan),Afrique du Sud,Afrique,Malmesbury,Plantation / exploitation (main-d'œuvre salariée),Raisin de cuve,À vérifier,Oui,Fairtrade International / FLOCERT — Producer - Hired Labour,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,"PO Box 130, 7299, Malmesbury, South Africa",Fairtrade Finder / FLOCERT (API officielle assurance-ix) — https://www.fairtrade.net/en/fairtrade-finder.html,FLO-ID 20268 — statut certification : Certified — organisme : FLOCERT
ETH-00017,Stellenrust Wines (Meadowlands),Afrique du Sud,Afrique,Stellenbosch,Plantation / exploitation (main-d'œuvre salariée),Raisin de cuve,À vérifier,Oui,Fairtrade International / FLOCERT — Producer - Hired Labour ; Trader,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,"PO Box 26, Koelenhof, 7605, Stellenbosch, South Africa",Fairtrade Finder / FLOCERT (API officielle assurance-ix) — https://www.fairtrade.net/en/fairtrade-finder.html,FLO-ID 19699 — statut certification : Certified — organisme : FLOCERT
ETH-00018,THT Boerdery (Pty) Ltd,Afrique du Sud,Afrique,Malmesbury,Plantation / exploitation (main-d'œuvre salariée),Raisin de cuve,À vérifier,Oui,Fairtrade International / FLOCERT — Producer - Hired Labour,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,"PO Box 326, Babylonstoren, 7299, Malmesbury, South Africa",Fairtrade Finder / FLOCERT (API officielle assurance-ix) — https://www.fairtrade.net/en/fairtrade-finder.html,FLO-ID 38938 — statut certification : Certified — organisme : FLOCERT
ETH-00019,The Fairview Trust (Fairview Wines),Afrique du Sud,Afrique,Suider-Paarl,Plantation / exploitation (main-d'œuvre salariée),Raisin de cuve,À vérifier,Oui,Fairtrade International / FLOCERT — Producer - Hired Labour ; Trader,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,"PO Box 583, 7624, Suider-Paarl, South Africa",Fairtrade Finder / FLOCERT (API officielle assurance-ix) — https://www.fairtrade.net/en/fairtrade-finder.html,FLO-ID 28676 — statut certification : Certified — organisme : FLOCERT
ETH-00020,Van Loveren Vineyards (Pty) Ltd,Afrique du Sud,Afrique,Robertson,Plantation / exploitation (main-d'œuvre salariée),Raisin de cuve,À vérifier,Oui,Fairtrade International / FLOCERT — Producer - Hired Labour ; Trader,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,"PO Box 19, Klaasvoogds, 6707, Robertson, South Africa",Fairtrade Finder / FLOCERT (API officielle assurance-ix) — https://www.fairtrade.net/en/fairtrade-finder.html,FLO-ID 20824 — statut certification : Certified — organisme : FLOCERT
ETH-00021,WP Mostert (Weltevrede),Afrique du Sud,Afrique,Paarl,Plantation / exploitation (main-d'œuvre salariée),Raisin de cuve,À vérifier,Oui,Fairtrade International / FLOCERT — Producer - Hired Labour,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,"PO Box 755, 7620, Paarl, South Africa",Fairtrade Finder / FLOCERT (API officielle assurance-ix) — https://www.fairtrade.net/en/fairtrade-finder.html,FLO-ID 47226 — statut certification : Certified — organisme : FLOCERT
ETH-00022,Bergendal Boerdery,Afrique du Sud,Afrique,Citrusdal,Plantation / exploitation (main-d'œuvre salariée),"Fruits frais, Herbes, infusions & épices, Raisin de cuve",À vérifier,Oui,Fairtrade International / FLOCERT — Producer - Hired Labour,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,"PO Box 33, 7340, Citrusdal, South Africa",Fairtrade Finder / FLOCERT (API officielle assurance-ix) — https://www.fairtrade.net/en/fairtrade-finder.html,FLO-ID 2783 — statut certification : Certified — organisme : FLOCERT
ETH-00023,Heiveld Co-operative Ltd,Afrique du Sud,Afrique,Nieuwoudtville,Coopérative / organisation de petits producteurs,"Herbes, infusions & épices",À vérifier,Oui,Fairtrade International / FLOCERT — Producer - Small Producer Organisation,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,"PO Box 154, 350 Unie Street, 8180, Nieuwoudtville, South Africa",Fairtrade Finder / FLOCERT (API officielle assurance-ix) — https://www.fairtrade.net/en/fairtrade-finder.html,FLO-ID 2585 — statut certification : Certified — organisme : FLOCERT
ETH-00024,Mouton Citrus Ltd,Afrique du Sud,Afrique,Citrusdal,Plantation / exploitation (main-d'œuvre salariée),"Fruits frais, Herbes, infusions & épices",À vérifier,Oui,Fairtrade International / FLOCERT — Producer - Hired Labour,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,"PO Box 110, 7340, Citrusdal, South Africa",Fairtrade Finder / FLOCERT (API officielle assurance-ix) — https://www.fairtrade.net/en/fairtrade-finder.html,FLO-ID 4798 — statut certification : Certified — organisme : FLOCERT
ETH-00025,Wiedouw Boerdery (Edms) Bpk,Afrique du Sud,Afrique,Vanrhynsdorp,Plantation / exploitation (main-d'œuvre salariée),"Herbes, infusions & épices",À vérifier,Oui,Fairtrade International / FLOCERT — Producer - Hired Labour,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,"PO Box 92, 8170, Vanrhynsdorp, South Africa",Fairtrade Finder / FLOCERT (API officielle assurance-ix) — https://www.fairtrade.net/en/fairtrade-finder.html,FLO-ID 19622 — statut certification : Certified — organisme : FLOCERT
ETH-00026,Wupperthal Original Rooibos Co-operative,Afrique du Sud,Afrique,Clanwilliam,Coopérative / organisation de petits producteurs,"Herbes, infusions & épices",À vérifier,Oui,Fairtrade International / FLOCERT — Producer - Small Producer Organisation,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,"School Street, Church Square, Wupperthal, 8138, Clanwilliam, South Africa",Fairtrade Finder / FLOCERT (API officielle assurance-ix) — https://www.fairtrade.net/en/fairtrade-finder.html,FLO-ID 22605 — statut certification : Certified — organisme : FLOCERT
ETH-00027,Zeekoevlei Boerdery,Afrique du Sud,Afrique,Clanwilliam,Plantation / exploitation (main-d'œuvre salariée),"Herbes, infusions & épices",À vérifier,Oui,Fairtrade International / FLOCERT — Producer - Hired Labour,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,"PO Box 135, 8135, Clanwilliam, South Africa",Fairtrade Finder / FLOCERT (API officielle assurance-ix) — https://www.fairtrade.net/en/fairtrade-finder.html,FLO-ID 32178 — statut certification : Certified — organisme : FLOCERT
ETH-00028,El Rincón Orgánico,Argentine,Amérique latine & Caraïbes,Buenos Aires,Producteur / transformateur bio,Produits alimentaires bio,Oui,À vérifier,Agriculture biologique,http://www.elrinconorganico.com.ar,Non trouvé,+54 11 2062 9515,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Argentine,Annuaire des membres IFOAM (directory.ifoam.bio),Non trouvé
ETH-00029,BGA Montlaiz S.A.,Argentine,Amérique latine & Caraïbes,San Martin,Plantation / exploitation (main-d'œuvre salariée),Raisin de cuve,À vérifier,Oui,Fairtrade International / FLOCERT — Producer - Hired Labour ; Trader,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,"San Martin, 5515, Argentina",Fairtrade Finder / FLOCERT (API officielle assurance-ix) — https://www.fairtrade.net/en/fairtrade-finder.html,FLO-ID 33209 — statut certification : Certified — organisme : FLOCERT
ETH-00030,Bodegas y Viñedos Amadeo Marañón S.A. (Bodegas Marañón),Argentine,Amérique latine & Caraïbes,Mendoza,Plantation / exploitation (main-d'œuvre salariée),Raisin de cuve,À vérifier,Oui,Fairtrade International / FLOCERT — Producer - Hired Labour,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,"Bandera de los Andes 1707, San Jose - Guaymallen, 5519, Mendoza, Argentina",Fairtrade Finder / FLOCERT (API officielle assurance-ix) — https://www.fairtrade.net/en/fairtrade-finder.html,FLO-ID 18314 — statut certification : Certified — organisme : FLOCERT
ETH-00031,CHAQUEPE S.A.,Argentine,Amérique latine & Caraïbes,RIVADAVIA,Plantation / exploitation (main-d'œuvre salariée),Raisin de cuve,À vérifier,Oui,Fairtrade International / FLOCERT — Producer - Hired Labour,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,"VERA S/N, LA LIBERTAD, 5979, RIVADAVIA, Argentina",Fairtrade Finder / FLOCERT (API officielle assurance-ix) — https://www.fairtrade.net/en/fairtrade-finder.html,FLO-ID 49063 — statut certification : Certified — organisme : FLOCERT
ETH-00032,Grupo Avinea S.A.,Argentine,Amérique latine & Caraïbes,Juan de la Cruz Videla S/N - Cruz de Piedra,Plantation / exploitation (main-d'œuvre salariée),Raisin de cuve,À vérifier,Oui,Fairtrade International / FLOCERT — Producer - Hired Labour,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,"Juan de la Cruz Videla S/N - Cruz de Piedra, 5517, Argentina",Fairtrade Finder / FLOCERT (API officielle assurance-ix) — https://www.fairtrade.net/en/fairtrade-finder.html,FLO-ID 37690 — statut certification : Certified — organisme : FLOCERT
ETH-00033,Grupo Peñaflor,Argentine,Amérique latine & Caraïbes,Cafayate,Plantation / exploitation (main-d'œuvre salariée),Raisin de cuve,À vérifier,Oui,Fairtrade International / FLOCERT — Producer - Hired Labour,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,"Ruta 40 y Ruta 68, 4427, Cafayate, Argentina",Fairtrade Finder / FLOCERT (API officielle assurance-ix) — https://www.fairtrade.net/en/fairtrade-finder.html,FLO-ID 36323 — statut certification : Certified — organisme : FLOCERT
ETH-00034,La Casa del Rey S.A - Bodega Altavista,Argentine,Amérique latine & Caraïbes,Mendoza,Plantation / exploitation (main-d'œuvre salariée),Raisin de cuve,À vérifier,Oui,Fairtrade International / FLOCERT — Producer - Hired Labour ; Trader,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,"Alzaga 3972 - Chacras de Coria-Lujan de Cuyo, Mendoza, Argentina",Fairtrade Finder / FLOCERT (API officielle assurance-ix) — https://www.fairtrade.net/en/fairtrade-finder.html,FLO-ID 23983 — statut certification : Certified — organisme : FLOCERT
ETH-00035,Cooperativa Vitivinifruticola de la Rioja (La Riojana),Argentine,Amérique latine & Caraïbes,La Rioja,Coopérative / organisation de petits producteurs,"Oléagineux & fruits oléagineux, Raisin de cuve",À vérifier,Oui,Fairtrade International / FLOCERT — Producer - Small Producer Organisation,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,"La Plata 646, Chilecito, La Rioja, Argentina",Fairtrade Finder / FLOCERT (API officielle assurance-ix) — https://www.fairtrade.net/en/fairtrade-finder.html,FLO-ID 3657 — statut certification : Certified — organisme : FLOCERT
ETH-00036,Cooperativa de Provisión Apícola COSAR LTDA.,Argentine,Amérique latine & Caraïbes,Sauce Viejo,Coopérative / organisation de petits producteurs,Miel,À vérifier,Oui,Fairtrade International / FLOCERT — Producer - Small Producer Organisation,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,"Parque Industrial Sauce Viejo, Ruta Nac. nro 11, km 455 , Lote 179, 3017, Sauce Viejo, Argentina",Fairtrade Finder / FLOCERT (API officielle assurance-ix) — https://www.fairtrade.net/en/fairtrade-finder.html,FLO-ID 19332 — statut certification : Certified — organisme : FLOCERT
ETH-00037,Cooperativa de Trabajo Coop Sol (COOPSOL),Argentine,Amérique latine & Caraïbes,Santiago del Estero,Coopérative / organisation de petits producteurs,Miel,À vérifier,Oui,Fairtrade International / FLOCERT — Producer - Small Producer Organisation,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,"Ruta Prov. N°5, km 6, La Banda, Santiago del Estero, Argentina",Fairtrade Finder / FLOCERT (API officielle assurance-ix) — https://www.fairtrade.net/en/fairtrade-finder.html,FLO-ID 3801 — statut certification : Certified — organisme : FLOCERT
ETH-00038,Mount Anne Organics,Australie,Océanie,Tasmanie,Exploitation agricole bio,Produits agricoles bio,Oui,À vérifier,Australian Certified Organic,https://organicoperators.au/,Non trouvé,+61 4 2930 3131,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Tasmanie,Annuaire des membres IFOAM (directory.ifoam.bio),Non trouvé
ETH-00039,Erde & Saat,Autriche,Europe,Haute-Autriche,Coopérative / groupement de producteurs bio,"Semences, céréales et produits bio",Oui,À vérifier,Agriculture biologique (UE),http://www.erde-saat.at,Non trouvé,+43 7252 75113,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Haute-Autriche,Annuaire des membres IFOAM (directory.ifoam.bio),Non trouvé
ETH-00040,Biolandwirtschaft Ennstal (Bio Ennstal),Autriche,Europe,Ennstal (Styrie),Groupement / coopérative d'agriculteurs bio,"Lait, viande et produits bio de montagne",Oui,À vérifier,Bioland / Agriculture biologique (UE),http://www.bioland-ennstal.at,Non trouvé,+43 3612 22531,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,"Ennstal, Styrie",Annuaire des membres IFOAM (directory.ifoam.bio),Non trouvé
ETH-00041,Kazi & Kazi Tea Estate Limited,Bangladesh,Asie,Dhanmondi,Plantation / exploitation (main-d'œuvre salariée),"Herbes, infusions & épices, Thé",À vérifier,Oui,Fairtrade International / FLOCERT — Producer - Hired Labour,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,"House # 44, Road # 16 (old # 27), Dhanmondi, 1209, Bangladesh",Fairtrade Finder / FLOCERT (API officielle assurance-ix) — https://www.fairtrade.net/en/fairtrade-finder.html,FLO-ID 33524 — statut certification : Certified — organisme : FLOCERT
ETH-00042,Belize Sugar Cane Farmers Association (BSCFA),Belize,Amérique latine & Caraïbes,Orange Walk,Coopérative / organisation de petits producteurs,Sucre de canne,À vérifier,Oui,Fairtrade International / FLOCERT — Producer - Small Producer Organisation,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,"34 San Antonio Rd., Orange Walk, Belize",Fairtrade Finder / FLOCERT (API officielle assurance-ix) — https://www.fairtrade.net/en/fairtrade-finder.html,FLO-ID 18980 — statut certification : Certified — organisme : FLOCERT
ETH-00043,Corozal Sugar Cane Producers Association (CSCPA),Belize,Amérique latine & Caraïbes,Corozal,Coopérative / organisation de petits producteurs,Sucre de canne,À vérifier,Oui,Fairtrade International / FLOCERT — Producer - Small Producer Organisation,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,"Mile 98 Philip Goldson Highway, Corozal, Belize",Fairtrade Finder / FLOCERT (API officielle assurance-ix) — https://www.fairtrade.net/en/fairtrade-finder.html,FLO-ID 32970 — statut certification : Certified — organisme : FLOCERT
ETH-00044,Northern Sugar Cane Growers Association,Belize,Amérique latine & Caraïbes,Corozal District,Coopérative / organisation de petits producteurs,Sucre de canne,À vérifier,Oui,Fairtrade International / FLOCERT — Producer - Small Producer Organisation,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,"Remate Road, Yo Chen Village, Corozal District, Belize City, Belize",Fairtrade Finder / FLOCERT (API officielle assurance-ix) — https://www.fairtrade.net/en/fairtrade-finder.html,FLO-ID 42817 — statut certification : Certified — organisme : FLOCERT
ETH-00045,Progressive Sugar Cane Producers Association,Belize,Amérique latine & Caraïbes,Orange Walk District,Coopérative / organisation de petits producteurs,Sucre de canne,À vérifier,Oui,Fairtrade International / FLOCERT — Producer - Small Producer Organisation,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,"Indian Hill, Orange Walk District, Belize",Fairtrade Finder / FLOCERT (API officielle assurance-ix) — https://www.fairtrade.net/en/fairtrade-finder.html,FLO-ID 33018 — statut certification : Certified — organisme : FLOCERT
ETH-00046,"""Central Regional Agropecuaria Industrial de Cooperativas """"El Ceibo"""" R.L.""",Bolivie,Amérique latine & Caraïbes,La Paz,Coopérative / organisation de petits producteurs,Cacao,À vérifier,Oui,Fairtrade International / FLOCERT — Producer - Small Producer Organisation,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,"Avenida Juan Pablo II N° 2560, Casilla 9698, La Paz, Bolivia",Fairtrade Finder / FLOCERT (API officielle assurance-ix) — https://www.fairtrade.net/en/fairtrade-finder.html,FLO-ID 1471 — statut certification : Certified — organisme : FLOCERT
ETH-00047,Asociación Agroecológica Oro Verde (ASOAGROV),Bolivie,Amérique latine & Caraïbes,El Alto,Coopérative / organisation de petits producteurs,Café,À vérifier,Oui,Fairtrade International / FLOCERT — Producer - Small Producer Organisation,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,"Cruce Villa Adela, Av. Ladislao No. 2074, el Alto, La Paz, Central Intercultural 11 de febrero, Cantón San Lorenzo, Provincia Caranavi, El Alto, Bolivia",Fairtrade Finder / FLOCERT (API officielle assurance-ix) — https://www.fairtrade.net/en/fairtrade-finder.html,FLO-ID 19383 — statut certification : Certified — organisme : FLOCERT
ETH-00048,Asociación Agropecuaria de Productores Ecológicos de Café Montaña Verde,Bolivie,Amérique latine & Caraïbes,Caranavi,Coopérative / organisation de petits producteurs,Café,À vérifier,Oui,Fairtrade International / FLOCERT — Producer - Small Producer Organisation,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,"Colonia Villa El Carmen, Central Túpac Amaru, Cantón San Lorenzo, Caranavi, Bolivia",Fairtrade Finder / FLOCERT (API officielle assurance-ix) — https://www.fairtrade.net/en/fairtrade-finder.html,FLO-ID 19382 — statut certification : Certified — organisme : FLOCERT
